index,instance,numcons,conseed,blipseed,score,timestamp,num_constraints,num_satisfied
821,diabetes,50,3,1,-2632445.87,60,250,189
822,link,75,1,1,-1730855.078,60,375,294
823,pigs,75,3,2,-1974019.548,60,375,302
824,munin3,75,2,2,-983741.779,60,375,317
825,diabetes,25,3,1,-2498730.189,30,125,109
826,hailfinder,25,1,1,-282292.346,60,125,87
827,link,75,2,2,-1707403.051,30,375,305
828,munin1,10,2,2,-273865.463,final,50,50
829,hailfinder,50,2,2,-300764.864,final,160,94
830,link,50,1,3,-1701784.014,30,250,205
831,asia,10,2,2,-11548.251,30,15,15
832,asia,10,3,3,-12837.513,final,15,12
833,water,5,1,2,-69746.929,final,25,22
834,survey,10,2,1,-19714.342,60,10,9
835,andes,10,1,3,-508051.885,final,50,42
836,munin4,50,2,1,-1123825.12,30,250,230
837,andes,50,3,2,-540202.014,30,250,149
838,cancer,10,2,2,-10582.736,60,5,4
839,survey,10,2,2,-19714.342,60,10,9
840,mildew,10,1,1,-281322.676,30,50,33
841,munin,50,1,1,-1123519.76,final,250,232
842,survey,5,3,1,-19714.342,60,10,9
843,munin1,10,1,1,-261338.035,60,50,46
844,munin,50,2,1,-1126133.119,60,250,227
845,munin2,75,2,1,-978345.743,30,375,332
846,barley,5,1,1,-324373.309,final,25,25
847,link,25,2,3,-1692293.936,60,125,106
848,munin4,75,2,2,-1146900.672,60,375,324
849,pigs,75,2,2,-1966497.393,60,375,321
850,munin2,75,2,2,-975477.893,30,375,332
851,munin,50,3,3,-1118208.429,30,250,222
852,barley,10,3,1,-335919.052,60,50,31
853,munin,75,3,2,-1149328.643,30,375,312
854,hepar2,10,1,1,-166595.259,final,50,40
855,barley,5,1,1,-324373.309,60,25,25
856,alarm,10,3,3,-66851.042,60,50,40
857,pathfinder,10,2,1,-168396.712,30,50,47
858,alarm,5,3,1,-57244.342,30,25,23
859,pathfinder,50,3,1,-252962.048,60,250,155
860,diabetes,10,2,1,-2343794.389,30,50,41
861,hepar2,10,1,2,-166605.125,final,50,40
862,munin3,50,3,2,-959018.942,30,250,220
863,munin3,75,3,1,-991325.429,30,375,330
864,munin4,50,2,3,-1111937.093,60,250,230
865,diabetes,25,1,1,-2445467.799,60,125,107
866,hepar2,50,3,2,-171095.96,60,230,121
867,water,10,2,3,-72629.067,60,50,35
868,hailfinder,25,2,3,-307438.962,30,125,74
869,munin1,25,3,3,-308706.138,final,125,110
870,alarm,10,3,1,-67155.624,60,50,40
871,asia,5,1,3,-11548.251,60,15,15
872,win95pts,50,1,1,-85100.794,final,250,125
873,pigs,75,2,2,-1975753.091,30,375,311
874,water,10,1,1,-74556.843,final,50,29
875,pathfinder,50,1,3,-257888.447,final,250,143
876,link,75,2,2,-1707403.051,60,375,305
877,diabetes,25,3,1,-2498730.189,60,125,109
878,hepar2,10,1,3,-166660.558,60,50,40
879,pathfinder,10,3,1,-163764.14,final,50,46
880,asia,10,1,1,-11548.251,60,15,15
881,munin2,25,2,1,-946274.886,30,125,118
882,link,50,3,2,-1700822.734,30,250,202
883,hailfinder,25,2,2,-307438.962,30,125,74
884,barley,10,3,3,-335765.181,30,50,31
885,pathfinder,25,2,2,-187790.853,30,125,106
886,munin,75,1,1,-1165353.597,30,375,318
887,pigs,50,3,2,-1940216.879,60,250,223
888,water,5,1,2,-69746.929,60,25,22
889,munin1,10,1,1,-261338.035,final,50,46
890,andes,10,1,3,-508051.885,60,50,42
891,survey,5,2,2,-19714.342,final,10,9
892,munin,75,2,2,-1163327.442,30,375,319
893,link,25,2,3,-1692293.936,final,125,106
894,munin4,50,1,2,-1108086.699,30,250,234
895,alarm,5,1,2,-57473.596,30,25,23
896,link,25,3,3,-1672425.079,final,125,107
897,munin4,75,1,2,-1133484.301,final,375,345
898,pigs,50,1,2,-1943788.762,60,250,218
899,asia,10,3,2,-12837.513,30,15,12
900,survey,5,2,1,-19714.342,60,10,9
901,munin1,50,1,2,-373040.518,30,250,157
902,win95pts,25,3,1,-70715.32,60,125,84
903,munin1,10,1,3,-264034.041,final,50,46
904,pigs,50,1,3,-1940362.063,60,250,221
905,munin4,50,1,3,-1109374.514,final,250,232
906,munin2,50,1,2,-965944.393,final,250,219
907,link,75,2,3,-1715277.131,60,375,299
908,insurance,10,2,1,-79313.909,60,50,40
909,pigs,25,2,3,-1913809.997,60,125,123
910,child,5,1,3,-62300.781,60,25,25
911,win95pts,10,1,3,-54147.133,final,50,47
912,munin1,50,2,3,-373305.333,60,250,157
913,hepar2,50,1,3,-170406.794,60,230,132
914,link,25,3,3,-1672425.079,60,125,107
915,munin1,25,2,3,-316509.301,30,125,94
916,munin1,10,3,2,-266975.896,final,50,46
917,munin3,25,1,1,-947954.804,30,125,116
918,munin4,50,1,1,-1105359.854,60,250,232
919,cancer,5,2,1,-10582.736,final,5,4
920,andes,50,3,2,-540202.014,60,250,149
921,hailfinder,10,1,1,-277791.546,30,50,39
922,munin1,25,1,3,-304487.916,30,125,95
923,munin4,50,3,3,-1113490.66,30,250,218
924,asia,5,1,3,-11548.251,final,15,15
925,child,5,3,1,-62110.2,30,25,25
926,pigs,50,1,2,-1943788.762,final,250,218
927,pigs,50,1,1,-1939594.868,final,250,223
928,survey,5,3,2,-19714.342,final,10,9
929,munin4,50,2,3,-1111937.093,final,250,230
930,pathfinder,25,2,2,-187790.853,final,125,106
931,barley,5,1,2,-324499.194,30,25,25
932,survey,5,2,1,-19714.342,30,10,9
933,pathfinder,50,3,1,-252965.366,30,250,155
934,link,75,3,2,-1723551.738,final,375,287
935,hepar2,50,3,1,-171080.276,final,230,122
936,munin2,75,1,3,-964326.172,30,375,331
937,diabetes,50,2,1,-2599594.835,30,250,190
938,win95pts,25,3,3,-70815.853,30,125,85
939,munin,25,2,2,-1095333.856,60,125,117
940,munin,75,3,1,-1148353.743,30,375,307
941,alarm,5,1,3,-57613.985,30,25,23
942,asia,5,2,2,-11548.251,final,15,15
943,hailfinder,10,1,1,-277791.546,final,50,39
944,insurance,5,2,2,-76229.885,30,25,24
945,andes,50,2,3,-542000.469,final,250,147
946,win95pts,10,1,3,-54147.133,60,50,47
947,munin1,25,1,2,-303289.465,30,125,94
948,diabetes,50,1,1,-2622269.175,final,250,186
949,pathfinder,10,3,2,-164174.559,30,50,46
950,sachs,5,1,2,-38733.51,final,25,19
951,munin2,75,3,2,-975433.042,30,375,332
952,asia,5,3,2,-12837.513,final,15,12
953,munin1,50,1,2,-371796.353,final,250,159
954,link,25,1,3,-1673438.046,30,125,112
955,mildew,5,3,2,-275471.744,final,25,18
956,asia,10,2,2,-11548.251,final,15,15
957,diabetes,50,2,2,-2597812.99,60,250,192
958,andes,50,3,2,-540202.014,final,250,149
959,water,10,1,1,-74556.843,60,50,29
960,barley,5,1,1,-324906.824,30,25,25
961,pigs,50,2,1,-1938247.0,final,250,224
962,asia,5,2,2,-11548.251,30,15,15
963,munin,25,2,3,-1091790.352,30,125,117
964,andes,25,1,2,-526454.466,60,125,91
965,pathfinder,25,2,1,-187536.382,final,125,106
966,sachs,10,1,2,-38452.851,final,40,32
967,child,5,3,3,-62079.631,60,25,25
968,cancer,10,2,3,-10582.736,final,5,4
969,munin1,25,1,3,-303954.984,60,125,95
970,win95pts,25,3,3,-70815.853,60,125,85
971,pigs,50,3,3,-1933313.825,30,250,229
972,link,75,3,1,-1725773.743,60,375,292
973,hailfinder,10,3,1,-273917.69,30,50,40
974,hailfinder,50,2,1,-301056.633,60,160,95
975,pigs,50,2,2,-1928533.312,final,250,224
976,sachs,10,1,1,-38452.851,final,40,32
977,diabetes,25,3,3,-2471956.619,30,125,110
978,child,5,3,2,-62079.631,30,25,25
