index,instance,numcons,conseed,blipseed,score,timestamp,num_constraints,num_satisfied
0,mildew,10,1,2,-281322.676,final,50,33
1,win95pts,10,1,2,-54125.09,30,50,47
2,munin,50,1,2,-1120976.662,60,250,230
3,water,10,1,2,-74556.843,30,50,29
4,andes,25,3,1,-524705.11,60,125,95
5,andes,10,1,1,-507795.15,final,50,42
6,munin4,75,2,1,-1150323.457,final,375,326
7,hepar2,25,1,2,-167872.983,30,125,84
8,pathfinder,10,1,1,-171840.78,60,50,48
9,alarm,5,3,2,-57218.048,final,25,23
10,pigs,75,2,1,-1969266.661,60,375,315
11,hepar2,10,1,2,-166605.125,30,50,40
12,munin1,25,3,2,-310462.577,60,125,110
13,water,5,3,1,-68970.569,final,25,24
14,hailfinder,25,1,2,-282302.511,60,125,87
15,cancer,10,2,3,-10582.736,30,5,4
16,diabetes,50,2,2,-2597812.99,30,250,192
17,link,25,1,3,-1673438.046,60,125,112
18,diabetes,25,3,2,-2497935.872,60,125,110
19,link,75,3,3,-1730792.657,60,375,292
20,hailfinder,10,3,3,-276087.128,30,50,40
21,hailfinder,50,1,2,-300617.171,60,160,89
22,andes,50,2,1,-544144.891,30,250,147
23,hailfinder,10,2,3,-268038.217,60,50,38
24,survey,5,3,3,-19714.342,60,10,9
25,diabetes,25,1,3,-2435754.929,30,125,102
26,water,5,3,2,-68806.634,30,25,24
27,diabetes,10,1,3,-2334502.842,60,50,45
28,pigs,50,3,3,-1933313.825,final,250,229
29,munin1,50,2,1,-380534.742,final,250,161
30,win95pts,25,1,2,-71136.804,60,125,72
31,munin2,75,3,3,-975607.148,final,375,333
32,pigs,50,2,3,-1936156.286,final,250,221
33,alarm,5,1,1,-57836.934,60,25,23
34,munin1,10,2,1,-273469.459,final,50,49
35,win95pts,50,3,1,-83805.582,30,250,124
36,andes,50,2,2,-545803.465,60,250,148
37,mildew,5,2,2,-274372.436,60,25,23
38,munin4,75,3,1,-1136380.501,30,375,332
39,munin3,50,2,3,-967229.071,final,250,233
40,munin1,25,3,1,-309189.102,60,125,110
41,hailfinder,50,3,3,-304623.714,final,160,104
42,hepar2,10,1,2,-166605.125,60,50,40
43,munin3,75,1,2,-987063.331,30,375,316
44,hailfinder,50,3,3,-304662.756,30,160,103
45,hepar2,10,2,3,-165224.719,final,50,46
46,win95pts,10,3,2,-59349.331,final,50,39
47,munin2,50,2,1,-959390.494,30,250,223
48,munin4,50,3,2,-1112841.741,30,250,220
49,andes,25,1,3,-524847.921,30,125,88
50,water,5,3,3,-68867.272,60,25,24
51,andes,50,1,2,-540810.992,final,250,164
52,diabetes,10,1,2,-2344795.869,30,50,47
53,hepar2,10,2,2,-165756.71,final,50,39
54,barley,5,3,1,-315631.143,30,25,21
55,asia,10,1,3,-11548.251,60,15,15
56,munin1,50,1,1,-373088.149,30,250,153
57,asia,5,1,2,-11548.251,final,15,15
58,hailfinder,50,2,1,-301056.633,final,160,95
59,asia,5,3,1,-12837.513,final,15,12
60,diabetes,25,1,1,-2445467.799,final,125,107
61,sachs,5,1,1,-38733.51,final,25,19
62,barley,5,3,2,-314605.608,60,25,21
63,munin2,50,1,3,-968403.757,60,250,224
64,andes,25,1,3,-524847.921,60,125,88
65,mildew,10,1,3,-281322.676,final,50,33
66,munin,50,2,3,-1132519.649,30,250,225
67,alarm,10,2,2,-67362.709,final,50,41
68,pathfinder,50,2,1,-249425.747,30,250,154
69,munin1,50,3,3,-354261.409,final,250,171
70,hepar2,50,3,3,-171083.448,final,230,122
71,survey,5,2,3,-19714.342,final,10,9
72,munin2,50,1,2,-965944.393,30,250,219
73,asia,10,2,3,-11548.251,final,15,15
74,link,75,3,2,-1723551.738,60,375,287
75,hepar2,50,2,1,-169845.238,60,230,143
76,win95pts,10,2,2,-58187.258,30,50,43
77,andes,50,3,3,-540298.115,30,250,150
78,pathfinder,10,3,2,-164174.559,final,50,46
79,munin1,10,3,3,-267354.728,30,50,46
80,water,10,2,2,-72629.067,30,50,35
81,munin2,75,1,1,-961206.875,30,375,332
82,link,50,2,1,-1693462.294,30,250,211
83,munin2,25,1,3,-939185.865,30,125,115
84,hailfinder,50,1,3,-300617.339,60,160,89
85,hailfinder,50,2,3,-300741.798,30,160,94
86,munin1,25,2,2,-315678.106,30,125,94
87,mildew,5,2,2,-274372.436,30,25,23
88,barley,10,2,3,-331900.92,60,50,36
89,mildew,10,3,1,-288540.903,30,50,32
90,alarm,10,1,3,-68106.525,60,50,41
91,munin2,25,2,2,-949689.464,60,125,117
92,win95pts,50,3,1,-82787.709,60,250,125
93,munin,50,1,2,-1120976.662,final,250,230
94,andes,10,2,3,-513336.607,final,50,41
95,diabetes,10,2,1,-2343794.389,60,50,41
96,win95pts,25,2,2,-76122.957,final,125,78
97,barley,5,2,3,-314356.036,30,25,23
98,pigs,50,2,3,-1936156.286,30,250,221
99,barley,5,2,2,-316768.106,30,25,23
100,hailfinder,10,3,1,-272608.855,final,50,40
101,pigs,75,3,3,-1965727.379,60,375,314
102,andes,25,1,1,-523776.069,30,125,90
103,win95pts,10,3,1,-59458.692,30,50,39
104,hailfinder,10,1,3,-277636.393,60,50,39
105,munin4,75,1,1,-1137509.434,30,375,341
106,diabetes,25,3,3,-2471956.619,final,125,110
107,hailfinder,10,2,1,-267658.275,final,50,38
108,munin,50,3,2,-1120468.729,30,250,223
109,munin,75,3,1,-1148353.743,60,375,307
110,diabetes,10,3,3,-2349864.302,final,50,48
111,pathfinder,50,3,2,-249914.951,30,250,148
112,munin1,50,2,2,-376775.665,final,250,160
113,hepar2,25,1,1,-167889.435,final,125,82
114,andes,50,3,3,-540298.115,final,250,150
115,pigs,75,2,3,-1973081.79,30,375,308
116,pigs,25,1,3,-1913737.656,60,125,125
117,barley,5,2,3,-314356.036,final,25,23
118,pigs,25,1,2,-1911144.161,30,125,125
119,munin,25,1,1,-1097085.431,60,125,117
120,insurance,10,2,3,-78442.708,30,50,39
121,hepar2,25,3,3,-168777.234,60,125,88
122,munin2,25,2,2,-949689.464,30,125,117
123,sachs,5,1,2,-38733.51,30,25,19
124,munin1,10,1,3,-264036.28,30,50,46
125,link,50,2,1,-1674152.02,60,250,212
126,hepar2,25,3,1,-168771.497,30,125,88
127,munin,50,1,3,-1124149.66,final,250,233
128,sachs,10,1,3,-38452.851,final,40,32
129,asia,5,3,2,-12837.513,30,15,12
130,munin1,10,1,3,-264034.041,60,50,46
131,hailfinder,10,3,1,-272608.855,60,50,40
132,pathfinder,25,3,1,-197215.102,final,125,98
133,hailfinder,25,2,1,-307438.962,30,125,74
134,link,25,1,2,-1683443.606,final,125,111
135,barley,10,3,3,-335719.522,final,50,31
136,alarm,10,3,1,-67155.624,30,50,40
137,hepar2,50,2,3,-169844.983,60,230,141
138,hailfinder,10,3,3,-276087.128,final,50,40
139,diabetes,10,1,1,-2330390.863,30,50,44
140,sachs,10,2,1,-36512.303,final,40,39
141,pathfinder,10,1,1,-172574.542,30,50,48
142,pathfinder,25,1,3,-189653.773,60,125,103
143,diabetes,10,2,2,-2370463.068,60,50,43
144,munin1,25,1,1,-302689.141,60,125,95
145,hepar2,25,1,2,-167872.767,60,125,84
146,alarm,5,2,3,-60193.147,final,25,23
147,hailfinder,50,3,2,-304923.346,final,160,102
148,hepar2,25,2,2,-168698.284,60,125,82
149,munin,75,1,2,-1168276.902,final,375,317
150,asia,5,3,3,-12837.513,final,15,12
151,hailfinder,25,3,3,-289655.413,30,125,80
152,pigs,50,2,2,-1928533.312,60,250,224
153,water,10,3,2,-71692.372,final,50,30
154,munin3,25,1,1,-947954.804,60,125,116
155,munin,50,1,3,-1124149.66,60,250,233
156,pathfinder,25,2,3,-187559.825,final,125,106
157,munin,75,1,2,-1168276.902,60,375,317
158,hailfinder,25,2,1,-307438.962,60,125,74
159,andes,10,1,2,-510280.722,60,50,42
160,pigs,75,2,3,-1973081.79,final,375,308
161,munin3,50,2,2,-965802.723,30,250,234
162,hailfinder,25,2,2,-305577.255,final,125,75
163,hepar2,50,1,1,-170406.794,30,230,132
164,munin2,75,1,2,-960013.787,60,375,331
165,win95pts,25,2,1,-76252.161,60,125,78
166,win95pts,50,1,1,-85100.794,30,250,125
167,pigs,50,2,1,-1938247.0,60,250,224
168,pathfinder,25,2,1,-188293.854,30,125,106
169,munin,75,2,3,-1161605.772,30,375,317
170,asia,10,3,1,-12837.513,60,15,12
171,pathfinder,10,2,3,-167874.222,final,50,47
172,hepar2,25,1,3,-167904.343,30,125,82
173,asia,10,3,2,-12837.513,60,15,12
174,pigs,25,3,2,-1921390.929,final,125,122
175,pathfinder,50,3,1,-252962.048,final,250,155
176,win95pts,10,2,2,-57881.094,final,50,43
177,link,50,1,2,-1701711.801,30,250,206
178,alarm,10,2,1,-67505.27,final,50,41
179,alarm,5,2,1,-60244.985,30,25,23
180,munin3,50,2,1,-964353.175,30,250,233
181,munin4,50,2,2,-1115101.913,30,250,228
182,munin2,50,2,2,-959512.403,final,250,223
183,pathfinder,50,2,3,-247421.669,60,250,156
184,win95pts,25,3,2,-70912.276,30,125,84
185,munin1,25,2,1,-316601.225,30,125,94
186,alarm,10,3,2,-68588.114,final,50,36
187,munin3,25,3,3,-946027.999,30,125,110
188,barley,5,1,3,-324587.738,final,25,25
189,andes,10,2,2,-510017.454,60,50,42
190,munin3,25,1,3,-947527.168,30,125,115
191,hepar2,10,3,1,-165639.683,30,50,38
192,diabetes,25,1,3,-2435754.929,final,125,102
193,munin1,10,2,1,-273469.459,60,50,49
194,munin,25,3,2,-1096044.938,30,125,118
195,asia,10,3,2,-12837.513,final,15,12
196,child,5,3,3,-62079.631,final,25,25
197,andes,25,2,2,-523112.817,30,125,87
198,munin4,75,3,3,-1136355.512,30,375,333
199,pathfinder,10,3,1,-163764.14,60,50,46
200,link,75,2,3,-1715277.131,final,375,299
201,munin4,75,2,1,-1150323.457,30,375,326
202,survey,10,3,3,-19714.342,final,10,9
203,survey,5,2,2,-19714.342,30,10,9
204,hepar2,10,2,1,-165537.748,final,50,45
205,water,5,1,3,-69746.929,final,25,22
206,barley,5,3,3,-315540.465,30,25,21
207,diabetes,50,1,2,-2631543.244,30,250,192
208,mildew,10,3,3,-288651.311,30,50,32
209,barley,10,2,2,-332766.526,final,50,36
210,pathfinder,10,1,3,-172456.009,30,50,48
211,munin2,25,1,1,-940188.921,30,125,117
212,munin3,50,1,3,-964210.459,30,250,219
213,survey,10,2,1,-19714.342,final,10,9
214,pathfinder,25,3,1,-197215.102,60,125,98
215,pigs,50,3,1,-1935243.645,final,250,228
216,diabetes,25,3,2,-2499956.446,30,125,108
217,pigs,25,3,2,-1921390.929,30,125,122
218,barley,10,2,1,-333102.614,60,50,36
219,diabetes,50,1,3,-2625871.175,final,250,193
220,mildew,5,2,3,-274372.436,60,25,23
221,munin2,50,1,3,-968403.757,final,250,224
222,link,50,3,1,-1699016.013,60,250,203
223,munin3,50,3,3,-958745.874,60,250,227
224,munin2,75,1,1,-961206.875,60,375,332
225,munin2,50,1,1,-966697.175,30,250,216
226,mildew,5,1,3,-274044.533,30,25,23
227,win95pts,25,2,3,-76320.244,60,125,78
228,munin,25,1,2,-1100181.649,30,125,117
229,munin3,50,2,1,-963838.276,60,250,235
230,munin1,10,2,1,-273469.459,30,50,49
231,alarm,5,3,1,-57244.342,final,25,23
232,pathfinder,10,3,3,-163977.097,final,50,46
233,win95pts,10,1,2,-53849.102,60,50,47
234,water,5,3,2,-68806.634,60,25,24
235,pigs,75,2,2,-1966497.393,final,375,321
236,win95pts,10,3,2,-59349.331,60,50,39
237,andes,10,2,1,-508077.915,final,50,42
238,hailfinder,10,2,3,-268038.217,30,50,38
239,andes,10,3,3,-509332.995,final,50,42
240,pathfinder,25,1,3,-189653.773,final,125,103
241,win95pts,50,3,2,-83269.821,final,250,128
242,hepar2,10,2,1,-165537.748,30,50,45
243,diabetes,50,1,2,-2631543.244,final,250,192
244,hepar2,10,3,1,-165639.683,final,50,38
245,hepar2,10,2,2,-165756.71,60,50,39
246,munin4,25,1,2,-1086079.463,30,125,113
247,win95pts,10,2,1,-58153.276,30,50,43
248,hepar2,25,1,2,-167872.767,final,125,84
249,munin4,50,1,1,-1105359.854,30,250,232
250,insurance,5,2,1,-75957.902,60,25,24
251,hailfinder,50,3,2,-304923.346,60,160,102
252,mildew,5,2,2,-274372.436,final,25,23
253,diabetes,25,2,2,-2457854.823,30,125,105
254,hailfinder,25,2,3,-307438.962,60,125,74
255,pathfinder,10,2,1,-167723.347,60,50,47
256,win95pts,50,3,3,-83270.172,60,250,128
257,hailfinder,25,1,2,-282324.654,30,125,87
258,link,50,1,3,-1696062.128,60,250,206
259,pathfinder,10,3,3,-163977.097,60,50,46
260,munin2,25,1,2,-942139.404,30,125,115
261,munin1,50,3,1,-352372.203,30,250,172
262,cancer,10,2,1,-10582.736,30,5,4
263,andes,10,1,1,-507795.15,60,50,42
264,alarm,5,1,2,-57473.596,final,25,23
265,alarm,10,2,1,-67505.27,60,50,41
266,hepar2,25,3,3,-168831.804,30,125,84
267,win95pts,25,1,2,-71136.804,30,125,72
268,water,5,1,1,-69746.929,30,25,22
269,mildew,10,1,2,-281322.676,30,50,33
270,pigs,75,3,3,-1965727.379,final,375,314
271,pathfinder,10,2,2,-168124.352,60,50,47
272,hepar2,25,1,1,-167889.435,30,125,82
273,mildew,10,1,2,-281322.676,60,50,33
274,munin1,50,2,1,-380534.742,60,250,161
275,survey,5,3,3,-19714.342,30,10,9
276,andes,10,2,1,-508077.915,60,50,42
277,munin,50,1,3,-1124149.66,30,250,233
278,pathfinder,25,1,1,-189520.482,30,125,103
279,cancer,5,2,2,-10582.736,30,5,4
280,win95pts,50,1,1,-85100.794,60,250,125
281,hepar2,10,3,3,-165838.252,60,50,37
282,hailfinder,50,2,2,-300764.864,30,160,94
283,asia,5,3,3,-12837.513,60,15,12
284,pigs,75,3,1,-1969420.21,60,375,313
285,munin,25,2,2,-1095333.856,30,125,117
286,munin4,50,3,3,-1113490.66,60,250,218
287,hepar2,50,2,2,-169844.983,60,230,141
288,pigs,50,3,1,-1935243.645,60,250,228
289,alarm,5,2,3,-60193.147,60,25,23
290,munin3,50,3,3,-959988.923,30,250,221
291,hailfinder,25,3,2,-289834.072,30,125,82
292,pathfinder,10,2,3,-167874.222,60,50,47
293,pathfinder,10,1,2,-172338.56,final,50,48
294,hailfinder,25,2,2,-305577.255,60,125,75
295,hailfinder,50,1,3,-300617.339,30,160,89
296,cancer,10,2,2,-10582.736,final,5,4
297,mildew,5,1,3,-274044.533,60,25,23
298,barley,10,3,3,-335719.522,60,50,31
299,pigs,75,1,1,-1974294.238,30,375,301
300,munin,50,3,1,-1121995.368,30,250,225
301,asia,5,2,3,-11548.251,30,15,15
302,alarm,5,2,1,-60244.985,final,25,23
303,hepar2,25,2,3,-168925.121,30,125,82
304,diabetes,25,1,2,-2427838.621,30,125,108
305,asia,10,2,3,-11548.251,60,15,15
306,link,75,2,3,-1715277.131,30,375,299
307,sachs,10,2,1,-36512.303,30,40,39
308,diabetes,50,2,2,-2597812.99,final,250,192
309,munin4,75,1,2,-1133484.301,60,375,345
310,hepar2,25,2,2,-168698.284,final,125,82
311,win95pts,25,3,2,-70698.345,final,125,84
312,mildew,10,3,2,-288599.843,60,50,32
313,munin4,25,1,3,-1092822.131,30,125,111
314,asia,5,3,2,-12837.513,60,15,12
315,hepar2,50,2,1,-169845.238,final,230,143
316,asia,10,2,3,-11548.251,30,15,15
317,diabetes,25,2,1,-2476873.0,60,125,104
318,pigs,75,1,2,-1964297.476,60,375,310
319,water,5,3,2,-68806.634,final,25,24
320,asia,10,3,3,-12837.513,30,15,12
321,survey,5,3,2,-19714.342,30,10,9
322,diabetes,50,1,3,-2625871.175,60,250,193
323,andes,25,1,1,-523776.069,final,125,90
324,sachs,5,1,1,-38733.51,60,25,19
325,hailfinder,10,2,1,-267891.653,30,50,38
326,water,10,2,1,-72629.067,final,50,35
327,munin3,75,3,1,-991325.429,60,375,330
328,pathfinder,50,2,3,-247421.669,final,250,156
329,survey,10,2,2,-19714.342,30,10,9
330,pathfinder,10,2,3,-168664.242,30,50,47
331,munin2,75,3,1,-975796.804,30,375,332
332,munin4,50,2,3,-1111937.093,30,250,230
333,asia,10,2,1,-11548.251,final,15,15
334,hepar2,50,1,2,-170406.794,final,230,132
335,hepar2,25,1,3,-167889.59,60,125,82
336,asia,10,1,1,-11548.251,30,15,15
337,munin4,25,3,3,-1074849.793,30,125,118
338,andes,25,2,3,-524315.592,60,125,84
339,asia,5,2,1,-11548.251,60,15,15
340,munin2,50,1,2,-965944.393,60,250,219
341,mildew,10,3,1,-288540.903,60,50,32
342,hepar2,50,1,2,-170406.794,60,230,132
343,mildew,5,1,2,-274057.892,final,25,23
344,win95pts,50,1,3,-85100.794,60,250,125
345,munin2,50,3,3,-958605.433,final,250,230
346,munin2,25,2,3,-948740.176,30,125,119
347,hepar2,25,3,1,-168767.822,final,125,88
348,hailfinder,50,3,1,-304416.16,30,160,103
349,alarm,10,2,1,-67601.916,30,50,41
350,diabetes,50,1,1,-2622269.175,60,250,186
351,sachs,10,2,1,-36512.303,60,40,39
352,win95pts,10,2,3,-58048.414,final,50,43
353,diabetes,50,2,1,-2589654.572,60,250,194
354,munin1,25,1,2,-303289.465,60,125,94
355,munin2,75,1,2,-960013.787,30,375,331
356,diabetes,10,2,3,-2355721.158,30,50,41
357,insurance,10,2,3,-78442.708,final,50,39
358,munin1,25,3,3,-311288.197,30,125,110
359,win95pts,25,1,1,-71155.581,final,125,72
360,survey,10,2,3,-19714.342,60,10,9
361,link,50,1,3,-1696062.128,final,250,206
362,andes,10,1,2,-510280.722,final,50,42
363,hepar2,25,3,2,-168776.446,60,125,88
364,win95pts,50,3,3,-83270.172,final,250,128
365,cancer,5,2,1,-10582.736,30,5,4
366,mildew,10,3,2,-288599.843,30,50,32
367,link,75,1,1,-1730855.078,30,375,294
368,munin4,25,2,2,-1077548.363,30,125,114
369,hailfinder,50,2,3,-300741.798,60,160,94
370,child,5,3,3,-62079.631,30,25,25
371,alarm,10,3,2,-68588.114,30,50,36
372,cancer,10,2,1,-10582.736,final,5,4
373,mildew,5,1,1,-274044.533,30,25,23
374,diabetes,25,2,3,-2477834.703,final,125,104
375,munin,25,3,3,-1090952.953,30,125,118
376,pigs,25,3,1,-1915557.555,60,125,122
377,munin2,25,3,2,-940789.018,30,125,115
378,munin3,75,3,2,-994968.985,final,375,330
379,link,75,1,2,-1734882.269,30,375,295
380,munin2,50,1,3,-970962.509,30,250,216
381,barley,5,3,1,-315631.143,final,25,21
382,munin,25,3,3,-1090952.953,60,125,118
383,andes,50,2,1,-544144.891,60,250,147
384,pathfinder,10,1,1,-171840.78,final,50,48
385,win95pts,50,2,1,-81303.605,60,250,132
386,andes,25,1,1,-523776.069,60,125,90
387,survey,10,3,1,-19714.342,60,10,9
388,hepar2,50,1,1,-170406.794,60,230,132
389,alarm,5,2,3,-60193.147,30,25,23
390,win95pts,25,3,2,-70698.345,60,125,84
391,andes,50,3,3,-540298.115,60,250,150
392,link,50,3,3,-1691844.996,30,250,205
393,munin4,25,1,1,-1092408.879,30,125,112
394,munin3,75,3,2,-994968.985,60,375,330
395,asia,5,1,2,-11548.251,30,15,15
396,water,10,2,3,-72629.067,30,50,35
397,mildew,5,2,3,-274372.436,30,25,23
398,hailfinder,25,3,2,-289834.072,60,125,82
399,insurance,10,2,2,-79545.125,60,50,41
400,munin3,25,2,3,-940932.72,30,125,116
401,alarm,5,1,3,-57613.985,60,25,23
402,hailfinder,25,1,1,-282292.346,final,125,87
403,munin1,10,1,2,-262183.481,60,50,46
404,munin1,25,2,3,-313265.827,60,125,95
405,barley,10,1,2,-334681.786,60,50,33
406,munin2,25,3,2,-940518.859,60,125,116
407,hepar2,10,2,3,-165224.719,30,50,46
408,barley,10,2,1,-333102.614,final,50,36
409,pathfinder,50,3,3,-251203.253,60,250,149
410,pathfinder,50,3,2,-249914.951,final,250,148
411,hepar2,50,1,3,-170406.794,final,230,132
412,hailfinder,10,1,2,-278134.651,60,50,39
413,survey,10,3,2,-19714.342,60,10,9
414,alarm,5,1,2,-57473.596,60,25,23
415,pathfinder,50,3,3,-251203.253,30,250,149
416,hepar2,50,2,2,-169844.983,final,230,141
417,link,25,1,3,-1673438.046,final,125,112
418,diabetes,25,2,1,-2476873.0,30,125,104
419,munin2,75,1,1,-961206.875,final,375,332
420,survey,10,3,3,-19714.342,60,10,9
421,alarm,5,3,3,-57302.384,60,25,23
422,water,10,3,3,-71692.372,30,50,30
423,barley,5,1,2,-324062.949,final,25,25
424,pathfinder,50,2,2,-247436.209,60,250,156
425,sachs,10,1,1,-38452.851,30,40,32
426,link,75,3,2,-1723551.738,30,375,287
427,munin,75,2,1,-1166386.861,30,375,308
428,asia,10,3,3,-12837.513,60,15,12
429,mildew,10,3,3,-288651.311,final,50,32
430,munin1,50,3,1,-352372.203,60,250,172
431,hepar2,25,3,1,-168767.822,60,125,88
432,munin3,50,1,2,-961053.712,30,250,222
433,andes,10,3,3,-509332.995,60,50,42
434,mildew,5,3,3,-275471.744,final,25,18
435,link,25,3,2,-1671929.884,30,125,107
436,hailfinder,25,1,3,-282324.654,60,125,87
437,water,5,3,1,-68970.569,60,25,24
438,mildew,5,1,2,-274057.892,30,25,23
439,hepar2,50,3,2,-171095.96,final,230,121
440,link,25,1,2,-1683443.606,30,125,111
441,survey,10,3,3,-19714.342,30,10,9
442,water,10,3,1,-71692.372,60,50,30
443,pigs,25,3,3,-1924346.812,60,125,122
444,pigs,50,3,3,-1933313.825,60,250,229
445,munin4,25,2,3,-1076174.288,30,125,117
446,munin4,75,2,2,-1146900.672,30,375,324
447,insurance,5,2,3,-76084.858,final,25,24
448,asia,5,1,1,-11548.251,final,15,15
449,pigs,25,3,3,-1924346.812,30,125,122
450,munin2,75,3,2,-975433.042,final,375,332
451,pigs,25,2,1,-1916181.5,30,125,123
452,pigs,75,2,3,-1973081.79,60,375,308
453,munin2,50,2,2,-959512.403,30,250,223
454,link,75,2,2,-1707403.051,final,375,305
455,asia,10,3,1,-12837.513,final,15,12
456,pigs,25,2,3,-1915703.104,30,125,123
457,munin1,10,3,1,-267130.545,60,50,46
458,pathfinder,50,1,1,-259008.443,final,250,144
459,andes,25,2,3,-524315.592,30,125,84
460,hepar2,10,1,1,-166595.259,60,50,40
461,win95pts,50,2,3,-81303.605,30,250,132
462,pathfinder,25,1,2,-188114.101,60,125,103
463,munin1,25,2,2,-315678.106,60,125,94
464,hepar2,10,3,3,-165838.252,final,50,37
465,munin3,75,1,1,-986470.655,30,375,320
466,hailfinder,25,1,3,-282324.654,final,125,87
467,munin1,10,2,3,-276593.706,final,50,49
468,pigs,50,1,3,-1940362.063,final,250,221
469,munin,50,2,1,-1126133.119,final,250,227
470,mildew,10,3,1,-288540.903,final,50,32
471,andes,10,3,2,-508704.546,60,50,43
472,pathfinder,25,3,3,-197571.507,60,125,98
473,munin1,50,2,1,-383725.764,30,250,158
474,andes,10,1,1,-507795.15,30,50,42
475,pigs,25,2,1,-1916181.5,final,125,123
476,mildew,5,1,1,-274044.533,final,25,23
477,andes,10,2,1,-508077.915,30,50,42
478,sachs,10,2,3,-36512.303,30,40,39
479,water,10,1,3,-74556.843,60,50,29
480,barley,10,3,1,-335919.052,final,50,31
481,munin2,75,3,3,-975607.148,30,375,333
482,munin1,25,3,1,-309189.102,final,125,110
483,munin2,75,3,2,-975433.042,60,375,332
484,barley,10,1,2,-334681.786,final,50,33
485,water,10,3,2,-71692.372,30,50,30
486,munin4,75,2,3,-1149437.927,final,375,329
487,pigs,25,2,2,-1920071.645,30,125,123
488,alarm,10,2,3,-67369.791,final,50,41
489,survey,5,2,2,-19714.342,60,10,9
490,survey,5,2,1,-19714.342,final,10,9
491,munin,75,3,3,-1146426.863,30,375,314
492,link,50,3,2,-1700822.734,60,250,202
493,barley,10,3,2,-335719.194,60,50,31
494,munin1,10,3,1,-269448.43,30,50,46
495,mildew,5,3,2,-275471.744,30,25,18
