index,instance,numcons,conseed,blipseed,score,ts
1553,mildew,10,2,2,-286320.7754,0.1
1554,mildew,10,2,2,-284358.8612,0.1
1555,mildew,10,2,2,-280012.5415,0.2
1556,mildew,10,2,2,-279235.0619,0.2
1557,mildew,10,2,2,-275944.4695,0.2
1558,mildew,10,2,2,-275560.6657,3.5
1559,mildew,10,2,2,-275191.7236,4.1
1560,mildew,10,2,2,-275178.3646,4.4
1561,mildew,10,2,2,-275165.0057,89.5
1562,andes,10,2,3,-513382.3774,0.7
1563,andes,10,2,3,-513336.6074,12.5
1564,alarm,5,2,1,-67869.177,0.2
1565,alarm,5,2,1,-62790.2885,0.2
1566,alarm,5,2,1,-62273.2754,0.4
1567,alarm,5,2,1,-61301.9028,11.2
1568,alarm,5,2,1,-61126.5934,171.2
1569,alarm,5,2,1,-61081.8966,429.5
1570,alarm,5,2,1,-60994.2664,596.0
1571,alarm,5,2,1,-60730.9999,852.4
1572,alarm,5,2,1,-60244.9854,1063.6
1573,survey,5,2,2,-19714.3416,0.1
1574,asia,5,2,1,-13005.2313,0.1
1575,asia,5,2,1,-12940.3779,0.1
1576,asia,5,2,1,-11618.2029,0.1
1577,asia,5,2,1,-11548.2506,0.1
1578,munin1,25,1,1,-318119.7562,0.3
1579,munin1,25,1,1,-313967.8755,0.4
1580,munin1,25,1,1,-312555.1619,0.5
1581,munin1,25,1,1,-312272.2432,0.7
1582,munin1,25,1,1,-311733.0314,0.8
1583,munin1,25,1,1,-308764.2987,2.4
1584,munin1,25,1,1,-308256.6745,2.7
1585,munin1,25,1,1,-307996.9471,2.8
1586,munin1,25,1,1,-307527.2655,94.7
1587,munin1,25,1,1,-306924.4951,99.5
1588,munin1,25,1,1,-304349.7918,212.3
1589,munin1,25,1,1,-303538.2028,366.9
1590,munin1,25,1,1,-302981.8909,2262.4
1591,munin1,25,1,1,-302689.1409,3327.0
1592,hepar2,50,1,1,-171633.675,0.2
1593,hepar2,50,1,1,-170988.427,0.3
1594,hepar2,50,1,1,-170955.6404,1.0
1595,hepar2,50,1,1,-170820.8758,1.1
1596,hepar2,50,1,1,-170792.9893,1.4
1597,hepar2,50,1,1,-170735.2153,1.5
1598,hepar2,50,1,1,-170568.0081,2.6
1599,hepar2,50,1,1,-170526.9864,10.5
1600,hepar2,50,1,1,-170474.7406,16.1
1601,hepar2,50,1,1,-170410.7783,29.3
1602,hepar2,50,1,1,-170407.3514,102.4
1603,hepar2,50,1,1,-170406.7945,145.6
1604,munin2,25,3,1,-944132.8323,2.5
1605,win95pts,25,2,1,-80225.5855,0.3
1606,win95pts,25,2,1,-77270.283,0.4
1607,win95pts,25,2,1,-77216.8258,0.7
1608,win95pts,25,2,1,-76721.3906,1.5
1609,win95pts,25,2,1,-76636.713,7.4
1610,win95pts,25,2,1,-76601.503,8.8
1611,win95pts,25,2,1,-76563.219,16.3
1612,win95pts,25,2,1,-76562.0459,23.7
1613,win95pts,25,2,1,-76556.5169,30.7
1614,win95pts,25,2,1,-76545.8953,63.3
1615,win95pts,25,2,1,-76509.3774,76.7
1616,win95pts,25,2,1,-76363.2884,89.4
1617,win95pts,25,2,1,-76315.7425,186.4
1618,win95pts,25,2,1,-76313.6758,206.5
1619,win95pts,25,2,1,-76285.4424,290.2
1620,win95pts,25,2,1,-76252.1608,307.0
1621,link,75,1,3,-1754121.7217,2.0
1622,asia,5,3,2,-12837.5126,0.1
1623,alarm,10,3,3,-76654.9602,0.2
1624,alarm,10,3,3,-75826.6017,0.2
1625,alarm,10,3,3,-75348.2944,0.3
1626,alarm,10,3,3,-74557.1541,0.3
1627,alarm,10,3,3,-74250.936,0.3
1628,alarm,10,3,3,-70737.3839,0.4
1629,alarm,10,3,3,-70645.7786,1.6
1630,alarm,10,3,3,-69070.0597,1.9
1631,alarm,10,3,3,-66851.0419,3582.9
1632,hailfinder,25,3,3,-308649.7105,0.2
1633,hailfinder,25,3,3,-307054.0021,0.2
1634,hailfinder,25,3,3,-302716.571,0.2
1635,hailfinder,25,3,3,-301024.1322,0.7
1636,hailfinder,25,3,3,-298999.1266,1.0
1637,hailfinder,25,3,3,-298107.9369,2.0
1638,hailfinder,25,3,3,-295805.9864,4.1
1639,hailfinder,25,3,3,-292526.098,12.1
1640,hailfinder,25,3,3,-290522.0501,88.7
1641,hailfinder,25,3,3,-289834.0717,151.2
1642,hailfinder,25,3,3,-289671.1411,283.8
1643,hailfinder,25,3,3,-289655.4128,679.0
1644,hailfinder,25,3,3,-289325.731,2795.1
1645,child,10,2,1,-71548.754,0.1
1646,child,10,2,1,-68359.7261,0.1
1647,child,10,2,1,-67319.9092,0.2
1648,child,10,2,1,-66272.2056,0.2
1649,child,10,2,1,-65916.6956,0.2
1650,child,10,2,1,-65840.2369,0.3
1651,child,10,2,1,-62600.2053,1.8
1652,pathfinder,50,3,2,-267620.3414,0.2
1653,pathfinder,50,3,2,-266788.4736,0.2
1654,pathfinder,50,3,2,-255712.9139,0.3
1655,pathfinder,50,3,2,-255385.8994,0.9
1656,pathfinder,50,3,2,-255060.54,1.4
1657,pathfinder,50,3,2,-255021.4723,1.4
1658,pathfinder,50,3,2,-249914.9506,2.6
1659,munin4,25,2,3,-1088796.6696,1.9
1660,munin4,25,2,3,-1084562.5633,7.6
1661,munin4,25,2,3,-1081615.9846,63.7
1662,munin4,25,2,3,-1080374.1595,65.2
1663,cancer,5,2,2,-10589.2772,0.1
1664,cancer,5,2,2,-10582.7359,0.1
1665,asia,10,3,1,-12837.5126,0.1
1666,hailfinder,50,1,2,-308833.4547,0.2
1667,hailfinder,50,1,2,-307854.6983,0.4
1668,hailfinder,50,1,2,-306863.7996,0.7
1669,hailfinder,50,1,2,-304397.8451,0.7
1670,hailfinder,50,1,2,-302570.6054,1.4
1671,hailfinder,50,1,2,-302524.9621,3.8
1672,hailfinder,50,1,2,-302158.3481,12.4
1673,hailfinder,50,1,2,-302158.348,19.8
1674,hailfinder,50,1,2,-300617.339,88.8
1675,hailfinder,50,1,2,-300617.1707,846.7
1676,munin,50,1,2,-1142042.6222,1.2
1677,munin,50,1,2,-1129800.378,1.6
1678,munin,50,1,2,-1125798.542,21.4
1679,munin,50,1,2,-1120976.662,91.1
1680,munin2,50,1,1,-967440.464,2.3
1681,win95pts,50,3,2,-87271.2826,0.3
1682,win95pts,50,3,2,-87271.2826,0.3
1683,win95pts,50,3,2,-85655.1962,0.4
1684,win95pts,50,3,2,-85648.7678,3.7
1685,win95pts,50,3,2,-85636.0912,6.6
1686,win95pts,50,3,2,-85511.117,50.0
1687,win95pts,50,3,2,-85508.365,75.5
1688,win95pts,50,3,2,-85142.5708,129.8
1689,win95pts,50,3,2,-83776.2033,777.8
1690,win95pts,50,3,2,-83269.8206,792.7
1691,hailfinder,25,2,3,-309945.456,0.2
1692,hailfinder,25,2,3,-308393.4879,0.2
1693,hailfinder,25,2,3,-307759.4903,0.5
1694,hailfinder,25,2,3,-307500.1911,0.7
1695,hailfinder,25,2,3,-307500.191,1.0
1696,hailfinder,25,2,3,-307500.191,1.3
1697,hailfinder,25,2,3,-307438.9621,28.3
1698,hailfinder,25,2,3,-307438.962,267.2
1699,hailfinder,25,2,3,-307438.962,658.0
1700,hepar2,10,3,2,-167077.732,0.2
1701,hepar2,10,3,2,-166131.6917,0.2
1702,hepar2,10,3,2,-166052.2446,0.6
1703,hepar2,10,3,2,-165855.1332,1.7
1704,hepar2,10,3,2,-165843.7438,178.2
1705,hepar2,10,3,2,-165839.9959,1545.7
