index,instance,conseed,numcons,blipseed,score,num_constraints,num_satisfied
174,win95pts,1,10,1,-48923.111,50,33
175,win95pts,3,50,1,-48923.111,250,160
176,win95pts,1,25,1,-48923.111,125,76
177,win95pts,1,50,1,-48923.111,250,154
178,win95pts,3,10,1,-48923.111,50,32
179,win95pts,2,25,1,-48923.111,125,79
180,win95pts,2,50,1,-48923.111,250,158
181,win95pts,3,25,1,-48923.111,125,80
182,win95pts,2,10,1,-48923.111,50,30
183,sachs,1,5,1,-36511.41,25,20
184,sachs,2,5,1,-36511.41,25,18
185,sachs,1,10,1,-36511.41,40,29
186,sachs,2,10,1,-36511.41,40,33
187,sachs,3,10,1,-36511.41,40,32
188,sachs,3,5,1,-36511.41,25,19
189,win95pts,1,10,2,-49126.505,50,30
190,win95pts,3,50,2,-49126.505,250,159
191,win95pts,1,25,2,-49126.505,125,81
192,win95pts,1,50,2,-49126.505,250,153
193,win95pts,3,10,2,-49126.505,50,30
194,win95pts,2,25,2,-49126.505,125,82
195,win95pts,2,50,2,-49126.505,250,159
196,win95pts,3,25,2,-49126.505,125,81
197,win95pts,2,10,2,-49126.505,50,32
198,hepar2,3,50,2,-164636.021,230,161
199,hepar2,1,50,2,-164636.021,230,152
200,hepar2,1,10,2,-164636.021,50,33
201,hepar2,3,25,2,-164636.021,125,85
202,hepar2,1,25,2,-164636.021,125,91
203,hepar2,2,50,2,-164636.021,230,156
204,hepar2,2,10,2,-164636.021,50,32
205,hepar2,3,10,2,-164636.021,50,33
206,hepar2,2,25,2,-164636.021,125,89
207,earthquake,3,5,1,-2478.611,10,10
208,earthquake,1,5,1,-2478.611,10,10
209,earthquake,2,5,1,-2478.611,10,10
210,earthquake,3,10,1,-2478.611,10,10
211,earthquake,1,10,1,-2478.611,10,10
212,earthquake,2,10,1,-2478.611,10,10
213,diabetes,1,50,2,-2281094.684,250,143
214,diabetes,1,10,2,-2281094.684,50,29
215,diabetes,2,50,2,-2281094.684,250,141
216,diabetes,3,50,2,-2281094.684,250,132
217,diabetes,1,25,2,-2281094.684,125,72
218,diabetes,2,10,2,-2281094.684,50,26
219,diabetes,3,25,2,-2281094.684,125,68
220,diabetes,3,10,2,-2281094.684,50,34
221,diabetes,2,25,2,-2281094.684,125,63
222,diabetes,1,50,3,-2281007.007,250,147
223,diabetes,1,10,3,-2281007.007,50,29
224,diabetes,2,50,3,-2281007.007,250,141
225,diabetes,3,50,3,-2281007.007,250,129
226,diabetes,1,25,3,-2281007.007,125,73
227,diabetes,2,10,3,-2281007.007,50,26
228,diabetes,3,25,3,-2281007.007,125,67
229,diabetes,3,10,3,-2281007.007,50,28
230,diabetes,2,25,3,-2281007.007,125,65
231,asia,2,5,1,-11445.385,15,15
232,asia,1,5,1,-11445.385,15,15
233,asia,3,5,1,-11445.385,15,15
234,asia,2,10,1,-11445.385,15,15
235,asia,1,10,1,-11445.385,15,15
236,asia,3,10,1,-11445.385,15,15
237,survey,2,5,3,-19710.916,10,7
238,survey,1,10,3,-19710.916,10,7
239,survey,1,5,3,-19710.916,10,7
240,survey,3,10,3,-19710.916,10,8
241,survey,2,10,3,-19710.916,10,7
242,survey,3,5,3,-19710.916,10,8
243,insurance,2,10,1,-68404.837,50,40
244,insurance,2,5,1,-68404.837,25,17
245,insurance,1,10,1,-68404.837,50,36
246,insurance,3,10,1,-68404.837,50,37
247,insurance,3,5,1,-68404.837,25,17
248,insurance,1,5,1,-68404.837,25,17
249,cancer,1,10,3,-10582.736,5,2
250,cancer,1,5,3,-10582.736,5,2
251,cancer,2,10,3,-10582.736,5,4
252,cancer,3,10,3,-10582.736,5,3
253,cancer,3,5,3,-10582.736,5,3
254,cancer,2,5,3,-10582.736,5,4
255,munin,2,25,2,-1070663.546,125,69
256,munin,2,75,2,-1070663.546,375,206
257,munin,2,50,2,-1070663.546,250,142
258,munin,3,25,2,-1070663.546,125,70
259,munin,1,75,2,-1070663.546,375,196
260,munin,1,25,2,-1070663.546,125,69
261,munin,1,50,2,-1070663.546,250,131
262,munin,3,50,2,-1070663.546,250,140
263,munin,3,75,2,-1070663.546,375,209
264,insurance,2,10,3,-68525.467,50,36
265,insurance,2,5,3,-68525.467,25,13
266,insurance,1,10,3,-68525.467,50,35
